date,position,number
2012-01-12,tercero,20
2012-01-12,segundo,25
2012-01-12,primero,92
2012-01-13,tercero,50
2012-01-13,segundo,80
2012-01-13,primero,44
2012-01-14,primero,63
2012-01-14,tercero,27
2012-01-14,segundo,43
2012-01-15,tercero,94
2012-01-15,segundo,71
2012-01-15,primero,6
2012-01-16,tercero,29
2012-01-16,segundo,72
2012-01-16,primero,48
2012-01-17,tercero,54
2012-01-17,segundo,8
2012-01-17,primero,77
2012-01-18,tercero,4
2012-01-18,segundo,72
2012-01-18,primero,35
2012-01-19,primero,81
2012-01-19,tercero,68
2012-01-19,segundo,7
2012-01-20,tercero,42
2012-01-20,segundo,81
2012-01-20,primero,62
2012-01-22,tercero,64
2012-01-22,segundo,83
2012-01-22,primero,80
2012-01-23,tercero,42
2012-01-23,segundo,68
2012-01-23,primero,83
2012-01-24,primero,96
2012-01-24,segundo,65
2012-01-24,tercero,19
2012-01-25,primero,71
2012-01-25,tercero,89
2012-01-25,segundo,43
2012-01-26,primero,78
2012-01-26,tercero,94
2012-01-26,segundo,26
2012-01-27,tercero,38
2012-01-27,segundo,62
2012-01-27,primero,3
2012-01-28,tercero,87
2012-01-28,segundo,81
2012-01-28,primero,14
2012-01-29,primero,43
2012-01-29,segundo,45
2012-01-29,tercero,75
2012-01-30,segundo,72
2012-01-30,primero,70
2012-01-30,tercero,70
2012-01-31,tercero,21
2012-01-31,segundo,73
2012-01-31,primero,65
2012-02-01,tercero,9
2012-02-01,segundo,17
2012-02-01,primero,24
2012-02-02,primero,67
2012-02-02,tercero,29
2012-02-02,segundo,85
2012-02-03,tercero,93
2012-02-03,segundo,31
2012-02-03,primero,30
2012-02-04,tercero,71
2012-02-04,segundo,58
2012-02-04,primero,8
2012-02-05,tercero,2
2012-02-05,segundo,46
2012-02-05,primero,61
2012-02-06,primero,80
2012-02-06,segundo,56
2012-02-06,tercero,29
2012-02-07,tercero,74
2012-02-07,segundo,70
2012-02-07,primero,57
2012-02-08,tercero,86
2012-02-08,segundo,2
2012-02-08,primero,17
2012-02-09,tercero,86
2012-02-09,segundo,61
2012-02-09,primero,13
2012-02-10,primero,61
2012-02-10,segundo,93
2012-02-10,tercero,22
2012-02-11,primero,69
2012-02-11,tercero,21
2012-02-11,segundo,56
2012-02-12,tercero,87
2012-02-12,segundo,72
2012-02-12,primero,20
2012-02-13,tercero,68
2012-02-13,segundo,79
2012-02-13,primero,12
2012-02-14,tercero,83
2012-02-14,segundo,4
2012-02-14,primero,70
2012-02-15,primero,8
2012-02-15,segundo,65
2012-02-15,tercero,21
2012-02-16,tercero,13
2012-02-16,segundo,24
2012-02-16,primero,57
2012-02-17,tercero,68
2012-02-17,segundo,90
2012-02-17,primero,47
2012-02-18,tercero,51
2012-02-18,segundo,82
2012-02-18,primero,33
2012-02-19,primero,96
2012-02-19,tercero,18
2012-02-19,segundo,21
2012-02-20,tercero,88
2012-02-20,segundo,90
2012-02-20,primero,45
2012-02-21,tercero,17
2012-02-21,segundo,92
2012-02-21,primero,4
2012-02-22,tercero,49
2012-02-22,segundo,79
2012-02-22,primero,92
2012-02-23,tercero,98
2012-02-23,segundo,45
2012-02-23,primero,53
2012-02-24,primero,42
2012-02-24,tercero,11
2012-02-24,segundo,67
2012-02-25,tercero,24
2012-02-25,segundo,73
2012-02-25,primero,87
2012-02-26,tercero,48
2012-02-26,segundo,80
2012-02-26,primero,4
2012-02-27,tercero,85
2012-02-27,segundo,44
2012-02-27,primero,55
2012-02-28,primero,49
2012-02-28,tercero,70
2012-02-28,segundo,70
2012-02-29,tercero,46
2012-02-29,segundo,84
2012-02-29,primero,98
2012-03-01,tercero,56
2012-03-01,segundo,2
2012-03-01,primero,71
2012-03-02,tercero,5
2012-03-02,segundo,41
2012-03-02,primero,63
2012-03-03,tercero,95
2012-03-03,segundo,46
2012-03-03,primero,59
2012-03-04,primero,94
2012-03-04,tercero,52
2012-03-04,segundo,10
2012-03-05,tercero,57
2012-03-05,segundo,89
2012-03-05,primero,10
2012-03-06,tercero,87
2012-03-06,segundo,88
2012-03-06,primero,47
2012-03-07,tercero,64
2012-03-07,segundo,11
2012-03-07,primero,80
2012-03-08,primero,99
2012-03-08,tercero,66
2012-03-08,segundo,70
2012-03-09,tercero,67
2012-03-09,segundo,77
2012-03-09,primero,93
2012-03-10,tercero,43
2012-03-10,segundo,99
2012-03-10,primero,98
2012-03-11,tercero,9
2012-03-11,segundo,52
2012-03-11,primero,42
2012-03-12,primero,70
2012-03-12,tercero,30
2012-03-12,segundo,88
2012-03-13,tercero,56
2012-03-13,segundo,42
2012-03-13,primero,39
2012-03-14,tercero,73
2012-03-14,segundo,46
2012-03-14,primero,67
2012-03-15,tercero,34
2012-03-15,segundo,29
2012-03-15,primero,14
2012-03-16,primero,23
2012-03-16,segundo,86
2012-03-16,tercero,51
2012-03-17,primero,89
2012-03-17,tercero,0
2012-03-17,segundo,28
2012-03-18,primero,12
2012-03-18,tercero,72
2012-03-18,segundo,76
2012-03-19,primero,68
2012-03-19,tercero,64
2012-03-19,segundo,71
2012-03-20,primero,75
2012-03-20,tercero,94
2012-03-20,segundo,61
2012-03-21,tercero,60
2012-03-21,segundo,57
2012-03-21,primero,25
2012-03-22,tercero,75
2012-03-22,segundo,76
2012-03-22,primero,68
2012-03-23,primero,64
2012-03-23,segundo,23
2012-03-23,tercero,16
2012-03-24,segundo,97
2012-03-24,primero,28
2012-03-24,tercero,34
2012-03-25,tercero,13
2012-03-25,segundo,77
2012-03-25,primero,41
2012-03-26,tercero,48
2012-03-26,segundo,57
2012-03-26,primero,11
2012-03-27,primero,34
2012-03-27,tercero,43
2012-03-27,segundo,76
2012-03-28,tercero,15
2012-03-28,segundo,94
2012-03-28,primero,57
2012-03-29,tercero,49
2012-03-29,segundo,76
2012-03-29,primero,81
2012-03-30,tercero,85
2012-03-30,segundo,17
2012-03-30,primero,89
2012-03-31,primero,97
2012-03-31,segundo,22
2012-03-31,tercero,1
2012-04-01,tercero,57
2012-04-01,segundo,39
2012-04-01,primero,38
2012-04-02,tercero,31
2012-04-02,segundo,52
2012-04-02,primero,7
2012-04-03,tercero,3
2012-04-03,segundo,45
2012-04-03,primero,52
2012-04-04,primero,81
2012-04-04,segundo,88
2012-04-04,tercero,62
2012-04-09,primero,80
2012-04-09,tercero,53
2012-04-09,segundo,66
2012-04-10,primero,54
2012-04-10,tercero,56
2012-04-10,segundo,3
2012-04-11,tercero,47
2012-04-11,segundo,75
2012-04-11,primero,91
2012-04-12,tercero,47
2012-04-12,segundo,39
2012-04-12,primero,28
2012-04-13,primero,50
2012-04-13,tercero,41
2012-04-13,segundo,89
2012-04-14,segundo,10
2012-04-14,primero,78
2012-04-14,tercero,31
2012-04-15,tercero,29
2012-04-15,segundo,41
2012-04-15,primero,24
2012-04-16,tercero,85
2012-04-16,segundo,31
2012-04-16,primero,76
2012-04-17,primero,31
2012-04-17,segundo,51
2012-04-17,tercero,60
2012-04-18,primero,40
2012-04-18,tercero,58
2012-04-18,segundo,31
2012-04-19,tercero,37
2012-04-19,segundo,73
2012-04-19,primero,51
2012-04-20,tercero,64
2012-04-20,segundo,25
2012-04-20,primero,91
2012-04-21,primero,96
2012-04-21,segundo,30
2012-04-21,tercero,41
2012-04-22,segundo,68
2012-04-22,primero,61
2012-04-22,tercero,27
2012-04-23,tercero,64
2012-04-23,segundo,82
2012-04-23,primero,79
2012-04-24,tercero,34
2012-04-24,segundo,33
2012-04-24,primero,22
2012-04-25,primero,10
2012-04-25,segundo,31
2012-04-25,tercero,38
2012-04-26,primero,3
2012-04-26,tercero,13
2012-04-26,segundo,89
2012-04-27,tercero,32
2012-04-27,segundo,85
2012-04-27,primero,36
2012-04-28,tercero,24
2012-04-28,segundo,45
2012-04-28,primero,2
2012-04-29,tercero,91
2012-04-29,segundo,12
2012-04-29,primero,95
2012-04-30,primero,58
2012-04-30,segundo,12
2012-04-30,tercero,77
2012-05-01,tercero,61
2012-05-01,segundo,68
2012-05-01,primero,97
2012-05-02,tercero,99
2012-05-02,segundo,12
2012-05-02,primero,84
2012-05-03,tercero,87
2012-05-03,segundo,52
2012-05-03,primero,51
2012-05-04,primero,49
2012-05-04,segundo,85
2012-05-04,tercero,34
2012-05-05,tercero,52
2012-05-05,segundo,60
2012-05-05,primero,87
2012-05-06,tercero,85
2012-05-06,segundo,64
2012-05-06,primero,94
2012-05-07,tercero,6
2012-05-07,segundo,18
2012-05-07,primero,53
2012-05-08,tercero,9
2012-05-08,segundo,15
2012-05-08,primero,84
2012-05-09,primero,44
2012-05-09,tercero,57
2012-05-09,segundo,49
2012-05-10,tercero,52
2012-05-10,segundo,18
2012-05-10,primero,74
2012-05-11,tercero,75
2012-05-11,segundo,45
2012-05-11,primero,1
2012-05-12,tercero,11
2012-05-12,segundo,42
2012-05-12,primero,69
2012-05-13,primero,92
2012-05-13,tercero,23
2012-05-13,segundo,18
2012-05-14,tercero,60
2012-05-14,segundo,76
2012-05-14,primero,3
2012-05-15,tercero,76
2012-05-15,segundo,23
2012-05-15,primero,72
2012-05-16,tercero,51
2012-05-16,segundo,27
2012-05-16,primero,40
2012-05-17,tercero,11
2012-05-17,segundo,63
2012-05-17,primero,87
2012-05-18,primero,19
2012-05-18,tercero,18
2012-05-18,segundo,99
2012-05-21,tercero,63
2012-05-21,segundo,39
2012-05-21,primero,73
2012-05-22,tercero,38
2012-05-22,segundo,22
2012-05-22,primero,45
2012-05-23,tercero,38
2012-05-23,segundo,42
2012-05-23,primero,63
2012-05-24,primero,32
2012-05-24,tercero,32
2012-05-24,segundo,27
2012-05-25,tercero,85
2012-05-25,segundo,18
2012-05-25,primero,14
2012-05-26,tercero,93
2012-05-26,segundo,77
2012-05-26,primero,57
2012-05-27,tercero,9
2012-05-27,segundo,11
2012-05-27,primero,43
2012-05-28,primero,57
2012-05-28,tercero,90
2012-05-28,segundo,27
2012-05-29,tercero,40
2012-05-29,segundo,39
2012-05-29,primero,82
2012-05-30,tercero,48
2012-05-30,segundo,36
2012-05-30,primero,22
2012-05-31,tercero,46
2012-05-31,segundo,6
2012-05-31,primero,43
2012-06-01,primero,55
2012-06-01,segundo,56
2012-06-01,tercero,77
2012-06-02,primero,28
2012-06-02,tercero,24
2012-06-02,segundo,2
2012-06-03,primero,60
2012-06-03,tercero,31
2012-06-03,segundo,91
2012-06-04,primero,48
2012-06-04,tercero,82
2012-06-04,segundo,66
2012-06-05,tercero,60
2012-06-05,segundo,54
2012-06-05,primero,49
2012-06-06,tercero,86
2012-06-06,segundo,65
2012-06-06,primero,57
2012-06-08,primero,96
2012-06-08,tercero,22
2012-06-08,segundo,47
2012-06-09,segundo,50
2012-06-09,primero,61
2012-06-09,tercero,46
2012-06-10,tercero,46
2012-06-10,segundo,63
2012-06-10,primero,73
2012-06-11,tercero,91
2012-06-11,segundo,83
2012-06-11,primero,3
2012-06-12,primero,16
2012-06-12,segundo,16
2012-06-12,tercero,23
2012-06-13,primero,94
2012-06-13,tercero,72
2012-06-13,segundo,61
2012-06-14,tercero,87
2012-06-14,segundo,61
2012-06-14,primero,64
2012-06-15,tercero,74
2012-06-15,segundo,89
2012-06-15,primero,34
2012-06-16,primero,33
2012-06-16,segundo,61
2012-06-16,tercero,66
2012-06-17,segundo,1
2012-06-17,primero,16
2012-06-17,tercero,11
2012-06-18,tercero,29
2012-06-18,segundo,23
2012-06-18,primero,97
2012-06-19,tercero,26
2012-06-19,segundo,45
2012-06-19,primero,22
2012-06-20,primero,12
2012-06-20,tercero,52
2012-06-20,segundo,49
2012-06-21,tercero,5
2012-06-21,segundo,76
2012-06-21,primero,18
2012-06-22,tercero,78
2012-06-22,segundo,51
2012-06-22,primero,90
2012-06-23,tercero,95
2012-06-23,segundo,59
2012-06-23,primero,68
2012-06-24,tercero,4
2012-06-24,segundo,26
2012-06-24,primero,45
2012-06-25,primero,10
2012-06-25,tercero,48
2012-06-25,segundo,67
2012-06-26,tercero,10
2012-06-26,segundo,27
2012-06-26,primero,97
2012-06-27,tercero,95
2012-06-27,segundo,4
2012-06-27,primero,1
2012-06-28,tercero,78
2012-06-28,segundo,12
2012-06-28,primero,46
2012-06-29,primero,53
2012-06-29,tercero,4
2012-06-29,segundo,19
2012-06-30,tercero,36
2012-06-30,segundo,13
2012-06-30,primero,65
2012-07-01,tercero,35
2012-07-01,segundo,85
2012-07-01,primero,13
2012-07-02,tercero,17
2012-07-02,segundo,90
2012-07-02,primero,86
2012-07-03,primero,85
2012-07-03,tercero,86
2012-07-03,segundo,73
2012-07-04,tercero,79
2012-07-04,segundo,2
2012-07-04,primero,94
2012-07-05,tercero,35
2012-07-05,segundo,6
2012-07-05,primero,43
2012-07-06,tercero,62
2012-07-06,segundo,91
2012-07-06,primero,97
2012-07-07,primero,36
2012-07-07,segundo,63
2012-07-07,tercero,77
2012-07-08,primero,64
2012-07-08,tercero,91
2012-07-08,segundo,54
2012-07-09,primero,56
2012-07-09,tercero,20
2012-07-09,segundo,25
2012-07-10,primero,45
2012-07-10,tercero,90
2012-07-10,segundo,15
2012-07-11,tercero,70
2012-07-11,segundo,30
2012-07-11,primero,22
2012-07-12,tercero,62
2012-07-12,segundo,31
2012-07-12,primero,50
2012-07-13,primero,88
2012-07-13,segundo,31
2012-07-13,tercero,65
2012-07-14,segundo,39
2012-07-14,primero,16
2012-07-14,tercero,85
2012-07-15,tercero,79
2012-07-15,segundo,80
2012-07-15,primero,37
2012-07-16,tercero,55
2012-07-16,segundo,5
2012-07-16,primero,95
2012-07-17,primero,80
2012-07-17,tercero,94
2012-07-17,segundo,91
2012-07-18,tercero,58
2012-07-18,segundo,91
2012-07-18,primero,70
2012-07-19,tercero,47
2012-07-19,segundo,51
2012-07-19,primero,68
2012-07-20,tercero,32
2012-07-20,segundo,51
2012-07-20,primero,30
2012-07-21,primero,22
2012-07-21,segundo,41
2012-07-21,tercero,47
2012-07-22,tercero,46
2012-07-22,segundo,82
2012-07-22,primero,85
2012-07-23,tercero,10
2012-07-23,segundo,63
2012-07-23,primero,21
2012-07-24,tercero,13
2012-07-24,segundo,69
2012-07-24,primero,18
2012-07-25,primero,34
2012-07-25,segundo,1
2012-07-25,tercero,32
2012-07-26,primero,66
2012-07-26,tercero,10
2012-07-26,segundo,40
2012-07-27,primero,67
2012-07-27,tercero,46
2012-07-27,segundo,82
2012-07-28,tercero,30
2012-07-28,segundo,57
2012-07-28,primero,10
2012-07-29,tercero,26
2012-07-29,segundo,27
2012-07-29,primero,32
2012-07-30,primero,43
2012-07-30,tercero,46
2012-07-30,segundo,59
2012-07-31,segundo,88
2012-07-31,primero,78
2012-07-31,tercero,61
2012-08-01,tercero,71
2012-08-01,segundo,99
2012-08-01,primero,24
2012-08-02,tercero,4
2012-08-02,segundo,37
2012-08-02,primero,85
2012-08-03,primero,38
2012-08-03,segundo,84
2012-08-03,tercero,85
2012-08-04,primero,30
2012-08-04,tercero,6
2012-08-04,segundo,69
2012-08-05,tercero,94
2012-08-05,segundo,94
2012-08-05,primero,74
2012-08-06,tercero,71
2012-08-06,segundo,43
2012-08-06,primero,11
2012-08-07,primero,56
2012-08-07,segundo,55
2012-08-07,tercero,16
2012-08-08,segundo,95
2012-08-08,primero,37
2012-08-08,tercero,16
2012-08-09,tercero,11
2012-08-09,segundo,8
2012-08-09,primero,64
2012-08-10,tercero,32
2012-08-10,segundo,14
2012-08-10,primero,29
2012-08-11,primero,72
2012-08-11,tercero,82
2012-08-11,segundo,60
2012-08-12,segundo,81
2012-08-12,tercero,70
2012-08-12,primero,14
2012-08-13,primero,65
2012-08-13,tercero,62
2012-08-13,segundo,24
2012-08-14,primero,49
2012-08-14,tercero,17
2012-08-14,segundo,5
2012-08-15,tercero,96
2012-08-15,segundo,19
2012-08-15,primero,11
2012-08-17,tercero,63
2012-08-17,segundo,30
2012-08-17,primero,11
2012-08-18,primero,7
2012-08-18,tercero,83
2012-08-18,segundo,82
2012-08-19,segundo,33
2012-08-19,primero,27
2012-08-19,tercero,67
2012-08-20,tercero,79
2012-08-20,segundo,85
2012-08-20,primero,68
2012-08-21,tercero,4
2012-08-21,segundo,44
2012-08-21,primero,59
2012-08-22,primero,88
2012-08-22,segundo,60
2012-08-22,tercero,70
2012-08-23,primero,0
2012-08-23,tercero,51
2012-08-23,segundo,59
2012-08-24,tercero,26
2012-08-24,segundo,5
2012-08-24,primero,46
2012-08-25,tercero,38
2012-08-25,segundo,24
2012-08-25,primero,39
2012-08-26,primero,70
2012-08-26,segundo,83
2012-08-26,tercero,39
2012-08-27,segundo,34
2012-08-27,primero,46
2012-08-27,tercero,85
2012-08-28,tercero,25
2012-08-28,segundo,84
2012-08-28,primero,26
2012-08-29,tercero,70
2012-08-29,segundo,68
2012-08-29,primero,28
2012-08-30,primero,6
2012-08-30,segundo,28
2012-08-30,tercero,99
2012-08-31,primero,66
2012-08-31,tercero,20
2012-08-31,segundo,70
2012-09-01,tercero,98
2012-09-01,segundo,58
2012-09-01,primero,53
2012-09-02,tercero,3
2012-09-02,segundo,46
2012-09-02,primero,10
2012-09-03,tercero,72
2012-09-03,segundo,15
2012-09-03,primero,78
2012-09-04,primero,81
2012-09-04,segundo,43
2012-09-04,tercero,51
2012-09-05,tercero,6
2012-09-05,segundo,66
2012-09-05,primero,6
2012-09-06,tercero,2
2012-09-06,segundo,93
2012-09-06,primero,50
2012-09-07,tercero,43
2012-09-07,segundo,64
2012-09-07,primero,49
2012-09-08,primero,89
2012-09-08,segundo,78
2012-09-08,tercero,56
2012-09-09,tercero,69
2012-09-09,segundo,8
2012-09-09,primero,43
2012-09-10,tercero,73
2012-09-10,segundo,92
2012-09-10,primero,86
2012-09-11,tercero,34
2012-09-11,segundo,77
2012-09-11,primero,8
2012-09-12,tercero,79
2012-09-12,segundo,28
2012-09-12,primero,3
2012-09-13,primero,89
2012-09-13,tercero,45
2012-09-13,segundo,58
2012-09-14,tercero,32
2012-09-14,segundo,21
2012-09-14,primero,23
2012-09-15,tercero,7
2012-09-15,segundo,56
2012-09-15,primero,5
2012-09-16,tercero,0
2012-09-16,segundo,8
2012-09-16,primero,66
2012-09-17,primero,64
2012-09-17,segundo,89
2012-09-17,tercero,53
2012-09-18,primero,15
2012-09-18,tercero,61
2012-09-18,segundo,76
2012-09-19,primero,13
2012-09-19,tercero,52
2012-09-19,segundo,87
2012-09-20,primero,85
2012-09-20,tercero,89
2012-09-20,segundo,77
2012-09-21,tercero,62
2012-09-21,segundo,42
2012-09-21,primero,82
2012-09-22,tercero,24
2012-09-22,segundo,36
2012-09-22,primero,9
2012-09-23,primero,32
2012-09-23,tercero,61
2012-09-23,segundo,54
2012-09-25,segundo,91
2012-09-25,primero,68
2012-09-25,tercero,66
2012-09-26,tercero,29
2012-09-26,segundo,62
2012-09-26,primero,20
2012-09-27,tercero,5
2012-09-27,segundo,62
2012-09-27,primero,31
2012-09-28,primero,24
2012-09-28,segundo,89
2012-09-28,tercero,84
2012-09-29,primero,54
2012-09-29,tercero,27
2012-09-29,segundo,24
2012-09-30,tercero,72
2012-09-30,segundo,12
2012-09-30,primero,16
2012-10-01,tercero,65
2012-10-01,segundo,36
2012-10-01,primero,10
2012-10-02,primero,79
2012-10-02,segundo,71
2012-10-02,tercero,62
2012-10-03,segundo,62
2012-10-03,primero,21
2012-10-03,tercero,54
2012-10-04,tercero,39
2012-10-04,segundo,34
2012-10-04,primero,34
2012-10-05,tercero,78
2012-10-05,segundo,10
2012-10-05,primero,42
2012-10-06,primero,63
2012-10-06,tercero,23
2012-10-06,segundo,32
2012-10-07,tercero,8
2012-10-07,segundo,87
2012-10-07,primero,9
2012-10-08,tercero,28
2012-10-08,segundo,91
2012-10-08,primero,49
2012-10-09,tercero,69
2012-10-09,segundo,90
2012-10-09,primero,10
2012-10-10,tercero,25
2012-10-10,segundo,39
2012-10-10,primero,79
2012-10-11,primero,60
2012-10-11,tercero,77
2012-10-11,segundo,79
2012-10-12,tercero,4
2012-10-12,segundo,68
2012-10-12,primero,28
2012-10-13,tercero,44
2012-10-13,segundo,27
2012-10-13,primero,19
2012-10-14,tercero,85
2012-10-14,segundo,61
2012-10-14,primero,95
2012-10-15,primero,74
2012-10-15,tercero,33
2012-10-15,segundo,82
2012-10-16,tercero,98
2012-10-16,segundo,33
2012-10-16,primero,14
2012-10-17,tercero,96
2012-10-17,segundo,56
2012-10-17,primero,71
2012-10-18,tercero,64
2012-10-18,segundo,4
2012-10-18,primero,28
2012-10-19,primero,93
2012-10-19,tercero,50
2012-10-19,segundo,63
2012-10-20,tercero,90
2012-10-20,segundo,69
2012-10-20,primero,13
2012-10-21,tercero,89
2012-10-21,segundo,13
2012-10-21,primero,95
2012-10-22,tercero,50
2012-10-22,segundo,11
2012-10-22,primero,56
2012-10-23,primero,72
2012-10-23,segundo,50
2012-10-23,tercero,14
2012-10-24,primero,63
2012-10-24,tercero,11
2012-10-24,segundo,2
2012-11-01,tercero,20
2012-11-01,segundo,49
2012-11-01,primero,17
2012-11-02,tercero,2
2012-11-02,segundo,49
2012-11-02,primero,36
2012-11-03,tercero,27
2012-11-03,segundo,21
2012-11-03,primero,19
2012-11-04,primero,57
2012-11-04,tercero,36
2012-11-04,segundo,73
2012-11-05,tercero,92
2012-11-05,segundo,98
2012-11-05,primero,21
2012-11-06,tercero,15
2012-11-06,segundo,4
2012-11-06,primero,40
2012-11-07,tercero,97
2012-11-07,segundo,14
2012-11-07,primero,76
2012-11-08,primero,60
2012-11-08,segundo,10
2012-11-08,tercero,77
2012-11-09,primero,99
2012-11-09,tercero,41
2012-11-09,segundo,63
2012-11-10,tercero,90
2012-11-10,segundo,85
2012-11-10,primero,81
